uid,Type,Producers,Studios,Source,Themes,Demographic,Duration,Favorites,Streaming Platforms
82,OVA,['Bandai Visual'],['Sunrise'],Original,"['Mecha', 'Military', 'Space']",,27 min. per ep.,"1,055",[]
34745,TV,"['TV Tokyo', 'Square Enix', 'Lantis', 'Kadokawa Shoten', 'AT-X', 'Magic Capsule', 'Sony Music Communications']",['Production I.G'],Manga,['Parody'],Shounen,24 min. per ep.,239,['Crunchyroll']
3782,Movie,['Notes'],['ufotable'],Light novel,[],,1 hr.,471,[]
253,TV,"['Bandai Visual', 'Sotsu']",['Shin-Ei Animation'],Manga,"['Gag Humor', 'School']",Shounen,23 min. per ep.,421,[]
12413,TV,"['Geneon Universal Entertainment', 'Shogakukan-Shueisha Productions']",['White Fox'],Manga,"['Adult Cast', 'Military', 'Organized Crime']",Seinen,24 min. per ep.,"3,117",['Crunchyroll']
5630,TV,"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']",['Production I.G'],Original,"['Adult Cast', 'Psychological']",,23 min. per ep.,"4,223",['Crunchyroll']
38816,Movie,"['Yomiuri Telecasting', 'TV Osaka', 'Mainichi Broadcasting System', 'Movic', 'TOHO', 'Memory-Tech', 'Tokyo MX', 'Shueisha', 'Kansai Telecasting', 'CyberAgent', 'JR East Marketing & Communications', 'LINE Corporation', 'Marui Group', 'Lawson Entertainment', 'Hikari TV']",['Graphinica'],Original,[],,1 hr. 37 min.,"1,471",['Netflix']
29787,TV,"['Frontier Works', 'AT-X', 'Magic Capsule', 'Bushiroad', 'Showgate', 'Houbunsha', 'NBCUniversal Entertainment Japan', 'i0+', 'Hakuhodo DY Music & Pictures', 'RAY']","['Kinema Citrus', 'White Fox']",4-koma manga,"['CGDCT', 'Iyashikei', 'Workplace']",,23 min. per ep.,865,['HIDIVE']
2321,OVA,['Bandai Visual'],['Phoenix Entertainment'],Manga,"['Mecha', 'Super Power']",Shounen,49 min. per ep.,436,[]
37822,ONA,"['Tencent Penguin Pictures', 'Xuanshi Tangmen']",['Sparkly Key Animation Studio'],Novel,"['Historical', 'Martial Arts']",,20 min. per ep.,446,[]
4447,Movie,"['Shogakukan-Shueisha Productions', 'Tokyo Movie Shinsha', 'Big Bang']",['TMS Entertainment'],Manga,['Detective'],Shounen,1 hr. 56 min.,24,['Crunchyroll']
1505,Movie,['add some'],['TMS Entertainment'],Manga,['Detective'],Shounen,1 hr. 50 min.,21,['Crunchyroll']
1472,TV,['add some'],['Sunrise'],Manga,[],Shounen,24 min. per ep.,50,['Crunchyroll']
9465,Movie,['KlockWorx'],"['Production I.G', 'Xebec']",Manga,"['Adult Cast', 'Mecha', 'Military']",Shounen,49 min.,29,[]
35507,TV,"['Studio Hibari', 'Lantis', 'AT-X', 'Sony Music Communications', 'Toranoana', 'Crunchyroll', 'Kadokawa Media House', 'Kadokawa', 'AKABEiSOFT2']",['Lerche'],Light novel,"['Psychological', 'School']",,24 min. per ep.,"18,972","['Crunchyroll', 'Netflix']"
38349,OVA,"['Aniplex', 'Half H.P Studio', 'Fujipacific Music']","['A-1 Pictures', 'Lapin Track']",Web manga,"['Adult Cast', 'Otaku Culture', 'Workplace']",,23 min. per ep.,486,[]
17949,Music,"['Sony Music Entertainment', 'Carp Studio']",['add some'],Original,['Music'],,1 min.,87,[]
12445,TV,"['Square Enix', 'Media Factory']",['SILVER LINK.'],Manga,['School'],Shounen,23 min. per ep.,"4,622","['Crunchyroll', 'HIDIVE']"
1254,TV,['add some'],['Toei Animation'],Manga,['Mythology'],Shounen,24 min. per ep.,"4,084",['Crunchyroll']
35073,TV,"['AT-X', 'Enterbrain', 'Grooove', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",['Madhouse'],Light novel,['Isekai'],,23 min. per ep.,"4,534","['Crunchyroll', 'Animax Mongolia']"
597,Movie,['add some'],['Studio Ghibli'],Other,['Anthropomorphic'],,1 hr. 15 min.,"1,565",['Netflix']
569,TV,"['VAP', 'Big West', 'King Records', 'Media Rings', 'TV Setouchi']",['Tatsunoko Production'],Light novel,"['Adult Cast', 'Military', 'Parody', 'Space']",,23 min. per ep.,571,['Crunchyroll']
19111,TV,"['Bandai Visual', 'Lantis', 'Bushiroad']",['Sunrise'],Other,"['Idols (Female)', 'Music', 'School']",,23 min. per ep.,"2,730",['Crunchyroll']
14349,Movie,"['Half H.P Studio', 'Ultra Super Pictures']",['Trigger'],Original,['School'],,26 min.,"1,353",['Netflix']
4898,TV,"['Aniplex', 'Square Enix', 'Yomiko Advertising', 'Mainichi Broadcasting System', 'Movic', 'Trinity Sound', 'Hakuhodo DY Media Partners']",['A-1 Pictures'],Manga,"['Historical', 'Mythology']",Shounen,24 min. per ep.,"22,820","['Crunchyroll', 'Netflix']"
249,TV,"['Shogakukan-Shueisha Productions', 'Yomiuri Telecasting']",['Sunrise'],Manga,"['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",Shounen,24 min. per ep.,"18,854","['Crunchyroll', 'Netflix']"
12893,Special,['add some'],['Sunrise'],Web manga,"['Gag Humor', 'School']",,3 min. per ep.,191,[]
8142,Movie,"['Aniplex', 'Sony Music Entertainment', 'Imagine']","['Sunrise', 'Ascension']",Novel,[],,2 hr. 7 min.,"1,252",[]
532,TV,"['TV Asahi', 'Toei Advertising']",['Toei Animation'],Manga,['Mahou Shoujo'],Shoujo,24 min. per ep.,"1,453",[]
21185,TV,['NHK'],['Pierrot'],Manga,['School'],Shounen,24 min. per ep.,846,['Crunchyroll']
890,TV,"['Victor Entertainment', 'Nagoya Broadcasting Network', 'Tokyu Agency']",['Sunrise'],Original,"['Mecha', 'Super Power']",,25 min. per ep.,355,['Crunchyroll']
543,Movie,"['Movic', 'Filmlink International', 'animate']",['Madhouse'],Light novel,['Vampire'],,1 hr. 42 min.,"2,597",['HIDIVE']
949,OVA,"['Studio Fantasia', 'Tohokushinsha Film Corporation']",['Gainax'],Original,"['Mecha', 'Military', 'Space']",,30 min. per ep.,"2,792",[]
34504,Movie,"['KlockWorx', 'Glovision', 'King Records']",['GoHands'],4-koma manga,"['Gag Humor', 'School']",Shounen,1 hr.,77,[]
1729,OVA,['add some'],['Studio Deen'],Light novel,['School'],Shoujo,51 min. per ep.,101,['HIDIVE']
8310,TV Special,['add some'],['TMS Entertainment'],Manga,[],Shounen,24 min. per ep.,354,['Crunchyroll']
35075,TV,"['Kodansha', 'King Records']",['Studio Deen'],Manga,['Mythology'],Seinen,23 min. per ep.,113,['HIDIVE']
35678,Movie,"['Lantis', 'Shochiku', 'Heart Company']",['Kyoto Animation'],Novel,"['Music', 'Performing Arts', 'School']",,1 hr. 41 min.,180,[]
15809,TV,"['Sotsu', 'Lantis', 'Pony Canyon', 'Magic Capsule', 'KlockWorx', 'ASCII Media Works', 'Showgate', 'Infinite']",['White Fox'],Light novel,"['Mythology', 'Workplace']",,24 min. per ep.,"10,725","['Crunchyroll', 'Netflix']"
35111,Movie,['add some'],['Production I.G'],Manga,"['School', 'Team Sports']",Shounen,1 hr. 28 min.,82,['Netflix']
7304,TV Special,['add some'],['TMS Entertainment'],Manga,[],,25 min.,8,[]
1366,Movie,['add some'],['TMS Entertainment'],Manga,['Detective'],Shounen,1 hr. 48 min.,36,['Crunchyroll']
23225,OVA,"['Sotsu', 'Pony Canyon']",['TYO Animations'],Manga,"['CGDCT', 'Gag Humor']",,1 hr. 3 min.,149,[]
17909,TV,"['Bandai Visual', 'Yomiuri Telecasting', 'Lantis', 'Kids Station', 'Magic Capsule', 'Good Smile Company']",['P.A. Works'],Novel,"['Anthropomorphic', 'Mythology']",,24 min. per ep.,"1,505",['Crunchyroll']
10521,TV,"['Aniplex', 'Yomiuri Telecasting', 'Rakuonsha']",['A-1 Pictures'],4-koma manga,"['Romantic Subtext', 'Workplace']",Seinen,24 min. per ep.,463,['Crunchyroll']
22319,TV,"['Marvelous AQL', 'TC Entertainment', 'Shueisha']",['Pierrot'],Manga,"['Gore', 'Psychological']",Seinen,24 min. per ep.,"50,680","['Crunchyroll', 'Netflix', 'Shahid']"
400,TV,"['Sotsu', 'Victor Entertainment']",['Sunrise'],Manga,['Space'],Seinen,25 min. per ep.,"2,182",['Crunchyroll']
9088,OVA,"['TV Tokyo', 'Dentsu', 'Frontier Works', 'Hakuhodo DY Media Partners']",['Anpro'],Manga,['Mythology'],Shounen,29 min. per ep.,74,['Animekey']
33190,Movie,['Visual Arts'],['David Production'],Visual novel,[],,1 hr. 56 min.,217,['Crunchyroll']
20,TV,"['TV Tokyo', 'Aniplex', 'Shueisha']",['Pierrot'],Manga,['Martial Arts'],Shounen,23 min. per ep.,"80,541","['Crunchyroll', 'Netflix']"
33221,Movie,['add some'],['Sunrise'],Manga,"['Mecha', 'Military', 'Space']",,1 hr. 9 min.,190,[]
22097,OVA,"['Aniplex', 'Shogakukan']",['Lay-duce'],Manga,[],Shounen,24 min. per ep.,258,[]
3014,Movie,"['Artland', 'Madhouse', 'Kitty Films', 'Tokuma Shoten', 'Tokuma Japan Communications']",['Kitty Film Mitaka Studio'],Novel,"['Adult Cast', 'Military', 'Space']",,59 min.,62,['HIDIVE']
2890,Movie,"['Dentsu', 'd-rights', 'TOHO']",['Studio Ghibli'],Original,[],,1 hr. 40 min.,"4,345",['Netflix']
6702,TV,"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production']","['Satelight', 'A-1 Pictures']",Manga,[],Shounen,24 min. per ep.,"46,879","['Crunchyroll', 'Netflix']"
2035,TV,['add some'],['Ajia-do'],Manga,"['Adult Cast', 'Historical']",Seinen,25 min. per ep.,113,['Crunchyroll']
6351,Special,['Animation Do'],['Kyoto Animation'],Visual novel,['School'],,23 min.,582,[]
6377,TV,['add some'],['Shaft'],Manga,"['Gag Humor', 'Parody', 'School']",Shounen,23 min. per ep.,244,[]
1485,TV,"['TV Tokyo', 'Yomiko Advertising', 'Youmex']",['Pierrot'],Manga,['Childcare'],Shoujo,25 min. per ep.,155,[]
4163,OVA,['add some'],"['Gonzo', 'AIC']",Manga,"['Parody', 'School']",Shounen,29 min. per ep.,29,[]
2143,OVA,['Dentsu'],"['Pierrot', 'Arms']",Manga,['Mythology'],Shoujo,33 min. per ep.,46,[]
6007,OVA,['add some'],"[""Brain's Base"", 'Marvy Jack']",Light novel,['Adult Cast'],,23 min.,306,[]
25517,TV,"['Aniplex', 'Yomiuri Telecasting', 'DAX Production']",['A-1 Pictures'],Manga,[],Shounen,24 min. per ep.,"1,106",['Crunchyroll']
27947,TV,"['TMS Entertainment', 'TMS Music']",['Telecom Animation Film'],Manga,['Adult Cast'],Seinen,25 min. per ep.,451,['Netflix']
1695,TV,['add some'],['Nippon Animation'],Novel,['Historical'],,24 min. per ep.,284,[]
187,Movie,['OB Planning'],['Studio Deen'],Manga,['Racing'],Seinen,1 hr. 44 min.,678,['Shahid']
14175,Movie,"['Sotsu', 'Lantis', 'Infinite']",['P.A. Works'],Original,['Workplace'],,1 hr. 6 min.,97,['Crunchyroll']
24471,OVA,['Starchild Records'],"['Studio Deen', 'Wit Studio']",Manga,['Mythology'],Seinen,26 min. per ep.,16,[]
35110,Movie,['add some'],['Production I.G'],Manga,"['School', 'Team Sports']",Shounen,1 hr. 29 min.,101,['Netflix']
35120,ONA,"['Aniplex', 'Dynamic Planning', 'Netflix']",['Science SARU'],Manga,"['Gore', 'Mythology']",Shounen,24 min. per ep.,"24,397",['Netflix']
779,Movie,"['Shogakukan-Shueisha Productions', 'YTV']",['TMS Entertainment'],Manga,['Detective'],Shounen,1 hr. 34 min.,107,['Crunchyroll']
10012,OVA,"['Bandai Visual', 'Notes']",['Lerche'],Manga,['Parody'],,14 min. per ep.,"1,602",[]
2605,TV,"['Starchild Records', 'Omnibus Japan']",['Shaft'],Manga,"['Gag Humor', 'Parody', 'School']",Shounen,24 min. per ep.,"4,691",[]
31973,ONA,['add some'],['Sunrise'],Manga,"['Mecha', 'Military', 'Space']",,18 min. per ep.,413,[]
4985,Movie,['Aniplex'],['Seven Arcs'],Original,['Mahou Shoujo'],,2 hr. 10 min.,195,[]
3572,TV,"['Bandai Visual', 'Mainichi Broadcasting System', 'Big West']",['Satelight'],Original,"['Mecha', 'Military', 'Music', 'Space']",,24 min. per ep.,"1,876",[]
4280,Movie,['Notes'],['ufotable'],Light novel,[],,46 min.,317,[]
429,OVA,"['HAL Film Maker', 'GDH', 'MediaNet']",['Gonzo'],Original,[],,50 min.,31,[]
5781,OVA,"['VAP', 'AIC']","['AIC Spirits', 'BeSTACK']",Original,"['Harem', 'Isekai', 'Mecha', 'School']",,45 min. per ep.,"1,848",['Crunchyroll']
10029,Movie,['Nippon Television Network'],['Studio Ghibli'],Manga,"['Historical', 'School']",Shoujo,1 hr. 35 min.,"1,218",['Netflix']
38250,ONA,['Tencent Animation & Comics'],['Haoliners Animation League'],Web manga,['School'],,12 min. per ep.,103,[]
16916,Special,"['Bandai Visual', 'Lantis']",['Production I.G'],Manga,"['School', 'Team Sports']",Shounen,23 min.,88,[]
7062,TV,"['Aniplex', 'Lantis', 'TBS', 'Movic', 'Houbunsha']",['Shaft'],4-koma manga,"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",,24 min. per ep.,147,['HIDIVE']
2623,Movie,"['Shochiku', 'Fuji TV', 'Pioneer LDC']",['Nippon Animation'],Novel,"['Historical', 'Pets', 'Visual Arts']",,1 hr. 42 min.,82,[]
790,TV,"['WOWOW', 'Rondo Robe', 'Geneon Entertainment USA', 'Geneon Entertainment']",['Manglobe'],Original,"['Adult Cast', 'Psychological']",,25 min. per ep.,"13,764","['Netflix', 'Tubi TV']"
8408,Special,['Aniplex'],"[""Brain's Base""]",Light novel,[],,23 min. per ep.,156,[]
780,Movie,['add some'],['TMS Entertainment'],Manga,['Detective'],Shounen,1 hr. 39 min.,73,['Crunchyroll']
24921,Movie,['Sotsu'],['SANZIGEN'],Manga,[],Seinen,1 hr. 44 min.,125,[]
658,TV,"['VAP', 'Nippon Television Network']",['Madhouse'],Manga,"['Adult Cast', 'High Stakes Game', 'Organized Crime', 'Psychological', 'Strategy Game']",Seinen,23 min. per ep.,"1,302",['Crunchyroll']
2158,TV,"['Aniplex', 'Mainichi Broadcasting System', 'SKY Perfect Well Think']","['Tokyo Kids', 'Minami Machi Bugyousho']",Manga,"['Military', 'Space', 'Super Power']",Shounen,24 min. per ep.,850,[]
22,TV,"['Production I.G', 'Nihon Ad Systems']",['Trans Arts'],Manga,['School'],Shounen,22 min. per ep.,"3,039",['Crunchyroll']
9926,TV,"['Lantis', 'Kadokawa Shoten', 'AT-X', 'DAX Production', 'KlockWorx']",['Studio Deen'],Manga,"['Adult Cast', 'Otaku Culture', 'Workplace']",,23 min. per ep.,"3,072",['Crunchyroll']
26123,OVA,['Starchild Records'],['GoHands'],4-koma manga,"['Gag Humor', 'School']",Shounen,25 min. per ep.,98,[]
30745,,[],[],,[],,,,[]
13767,OVA,"['Kadokawa Shoten', 'Romantica club !!']",['Studio Deen'],Manga,['Adult Cast'],,22 min. per ep.,77,[]
2762,TV,['TOHO'],['Group TAC'],Manga,['School'],Shoujo,23 min. per ep.,138,[]
33899,TV,"['Bandai Visual', 'Lantis', 'Bandai Namco Games']",['TROYCA'],Game,"['Idols (Male)', 'Music']",,24 min. per ep.,"1,419",['Crunchyroll']
967,TV,['Fuji TV'],['Toei Animation'],Manga,"['Gore', 'Martial Arts', 'Super Power']",Shounen,25 min. per ep.,"2,309",['Crunchyroll']
30415,Movie,"['Shochiku', 'Asahi Broadcasting', 'I Will']",['Kyoto Animation'],Light novel,['School'],,1 hr. 50 min.,276,['Netflix']
11239,TV,"['Aniplex', 'Lantis', 'TBS', 'Movic', 'Houbunsha', 'Grooove']",['Shaft'],4-koma manga,"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",,24 min. per ep.,190,['HIDIVE']
22043,TV,"['TV Tokyo', 'Dentsu']","['A-1 Pictures', 'Bridge']",Manga,[],Shounen,24 min. per ep.,"12,369",['Crunchyroll']
6505,ONA,['SamBakZa'],['add some'],Original,['Anthropomorphic'],,4 min. per ep.,150,[]
32093,TV,"['Bandai Visual', 'Dentsu', 'Frontier Works', 'Lantis', 'Shochiku', 'Mainichi Broadcasting System', 'Movic', 'Yahoo! Japan', 'Grooove']",['SILVER LINK.'],Web manga,"['Iyashikei', 'School']",,24 min. per ep.,"4,333","['Crunchyroll', 'HIDIVE']"
6582,TV,['flying DOG'],['AIC ASTA'],Manga,"['Gag Humor', 'Parody', 'Super Power']",Seinen,13 min. per ep.,28,[]
114,TV,['TV Tokyo Music'],['Production I.G'],Manga,"['Delinquents', 'Gag Humor', 'School']",Shounen,11 min. per ep.,"1,658",['Crunchyroll']
